state_fips,county_fips,D_treat,Y_lead_pre_5,Y_lead_post_5,Y_lead_pre_4,Y_lead_post_4,Y_lead_pre_3,Y_lead_post_3,Y_lead_pre_2,Y_lead_post_2,Y_lead_pre_1,Y_lead_post_1,Y_lag_pre_base,Y_lag_post_0,Y_lag_post_1,Y_lag_post_2,Y_lag_post_3,Y_lag_post_4,Y_lag_post_5,Y_lag_post_6,Y_lag_post_7,Y_lag_post_8,X_total_est,X_fed_est,X_state_est,X_local_est,X_priv_est,X_business_est,X_construction_est,X_education_est,X_finance_est,X_goods_est,X_information_est,X_leisure_est,X_manufacturing_est,X_mining_est,X_other_est,X_service_est,X_trade_est,X_total_emp,X_fed_emp,X_state_emp,X_local_emp,X_priv_emp,X_business_emp,X_construction_emp,X_education_emp,X_finance_emp,X_goods_emp,X_information_emp,X_leisure_emp,X_manufacturing_emp,X_mining_emp,X_other_emp,X_service_emp,X_trade_emp,X_total_wage,X_fed_wage,X_state_wage,X_local_wage,X_priv_wage,X_business_wage,X_construction_wage,X_education_wage,X_finance_wage,X_goods_wage,X_information_wage,X_leisure_wage,X_manufacturing_wage,X_mining_wage,X_other_wage,X_service_wage,X_trade_wage,X_fed_ratio_e,X_fed_ratio_w,X_state_ratio_e,X_state_ratio_w,X_local_ratio_e,X_local_ratio_w,X_priv_ratio_e,X_priv_ratio_w,X_business_ratio_e,X_business_ratio_w,X_construction_ratio_e,X_construction_ratio_w,X_education_ratio_e,X_education_ratio_w,X_finance_ratio_e,X_finance_ratio_w,X_goods_ratio_e,X_goods_ratio_w,X_information_ratio_e,X_information_ratio_w,X_leisure_ratio_e,X_leisure_ratio_w,X_manufacturing_ratio_e,X_manufacturing_ratio_w,X_mining_ratio_e,X_mining_ratio_w,X_other_ratio_e,X_other_ratio_w,X_service_ratio_e,X_service_ratio_w,X_trade_ratio_e,X_trade_ratio_w,X_pop_1990,X_sfr,X_eqi,X_growth,Z1,Z2,Z3,Z4,Z5
21,21177,0,21,19,15,21,17,15,20,17,35,20,35,26,32,46,29,18,37,45,31,24,6.3279366,2.4849067,2.9957323,2.8332133,6.2363696,3.583519,3.6109178,3.8501475,3.4965076,4.6347289,1.7917595,3.713572,3.583519,3.4011974,4.2626801,6.0137153,5.1647859,9.0823936,7.123673,4.7874918,6.8606639,8.7772474,5.1929569,5.6058021,6.6732979,5.6664267,7.6957579,4.2341065,6.3664703,6.7334018,6.9920964,5.3033047,8.3631096,7.6838641,9.9823446,10.373491,9.6540642,9.8698273,9.9089231,9.1874809,9.9459724,9.7774706,9.7377872,10.274499,9.832099,8.7018452,9.6387405,10.634292,9.4227057,9.6521378,9.7895908,4.7600002,5.48,.37,.23999999,1.11,1,.88,.82999998,.20999999,.079999998,.64999998,.56,.91000003,.76999998,.52999997,.34,1.1,1.27,.31,.2,.75999999,.49000001,.57999998,.34999999,7.71,15.3,.72000003,.61000001,.80000001,.62,1.1900001,1.09,10.35194829110539,2.0794415,-7.93261,0,10.351949,2.0794415,1,-7.93261,0
21,21179,0,127,103,137,127,146,137,173,146,154,173,154,202,187,159,193,177,185,157,165,170,6.4738908,2.3978953,3.0445225,2.7725887,6.3969297,3.713572,4.5432949,3.8066626,3.583519,4.9416423,1.6094379,4.0073333,3.7376697,1.3862944,4.1108737,6.1312265,5.3752785,9.1500597,4.4886365,5.1357985,6.7511015,9.0242519,4.919981,6.5820251,6.508769,5.5333896,8.3366299,4.5217886,6.6541524,8.1262226,4.2484951,5.5012584,8.3253059,7.5740452,9.7451363,10.045681,9.6700411,9.8145466,9.7353649,9.3479261,9.825202,9.5923319,9.6547699,9.9619923,10.050959,8.7000151,9.9960213,9.5236902,8.9710674,9.4380331,9.5623341,.31999999,.34,.49000001,.41999999,.93000001,1,1.05,1.0599999,.15000001,.090000004,1.61,1.5599999,.72000003,.64999998,.43000001,.33000001,1.95,2.0899999,.38,.38999999,.94999999,.76999998,2.1900001,2.3699999,.46000001,.38,.81999999,.56999999,.72000003,.56999999,1,.92000002,10.29923896845665,3.8066626,-7.8035612,0,10.299239,3.8066626,1,-7.8035612,0
21,21181,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,3,4.59512,1.9459101,2.1972246,1.9459101,4.3307333,0,2.0794415,0,1.9459101,2.7080503,0,0,0,0,1.9459101,4.1108737,3.2580965,7.3815017,3.1354942,3.2580965,5.5490761,7.1701198,0,3.0445225,0,3.6635616,6.7031879,0,0,0,0,2.3978953,6.182085,5.0814042,9.6051493,9.9406385,9.6946783,9.5765791,9.6016388,0,9.5249319,0,9.7396145,9.7292528,0,0,0,0,9.037652,9.3412809,9.3454828,.47999999,.54000002,.44,.44,1.65,1.6,.97000003,.98000002,0,0,.27000001,.22,0,0,.38999999,.37,2.23,2.1800001,0,0,0,0,0,0,0,0,.20999999,.19,.49000001,.41,.47999999,.41,8.813587204470039,0,0,0,8.8135872,0,0,0,0
21,21183,0,22,14,21,22,16,21,19,16,21,19,21,35,36,20,43,27,28,38,27,22,5.855072,2.5649493,2.9444389,2.7080503,5.7104268,3.1354942,3.1354942,3.3322046,2.7725887,4.2195077,1.6094379,2.9444389,3.3322046,2.8332133,3.6109178,5.4595857,4.6728287,8.4887934,4.4543471,4.7535901,6.7405195,8.246172,4.2484951,5.0172796,5.9889612,4.882802,7.4933171,4.1108737,5.521461,7.1252832,5.9964519,4.7621741,7.6088705,6.8956828,9.7360153,10.053544,9.7355423,9.6790304,9.7399092,10.34782,9.9745979,9.4352427,9.7487621,9.9104633,9.2382469,8.6661301,9.6220522,10.469568,9.4211683,9.5587416,9.6676388,.60000002,.63999999,.64999998,.58999997,1.79,1.6900001,.94,.95999998,.15000001,.23999999,.64999998,.74000001,.82999998,.63999999,.43000001,.36000001,1.62,1.67,.49000001,.22,.58999997,.47,1.5599999,1.17,5.1599998,11.12,.75999999,.81999999,.68000001,.62,.98000002,1.02,9.9572652582166,2.7080503,-7.7783589,0,9.9572649,2.7080503,1,-7.7783589,0
21,21185,0,243,235,249,243,262,249,308,262,320,308,320,357,375,429,409,409,448,362,402,405,6.4264884,1.7917595,3.0910425,2.4849067,6.3595738,4.3174882,4.8751974,3.6635616,3.4965076,5.1929569,1.9459101,3.713572,3.4011974,2.9444389,3.9120231,5.9864521,5.0369525,9.0138388,4.2484951,7.1739583,6.7912216,8.6914825,6.1025586,6.7844572,6.7979403,5.3375382,7.5368972,3.9889841,6.669498,6.6644092,5.3327188,5.5947113,8.312871,7.2534704,9.7244806,10.0507,9.8824167,9.9376955,9.6438093,9.573802,9.7739477,9.5237637,9.7061338,9.9128933,9.9674006,8.8826694,10.085851,9.7373743,9.6756458,9.4905443,9.5930147,.28999999,.31,4.3499999,4.6199999,1.11,1.38,.87,.81,.56999999,.41999999,2.26,2.1199999,1.11,.94,.41,.33000001,1,1.05,.25999999,.23999999,1.1,1.1,.57999998,.69999999,1.5700001,1.65,1.03,1.47,.81,.69999999,.82999998,.81,10.41220094711584,4.8598123,-7.5984287,0,10.412201,4.8598123,1,-7.5984287,0
21,21187,0,14,20,13,14,9,13,23,9,17,23,17,16,15,32,32,21,25,34,27,28,4.919981,2.1972246,2.5649493,2.3025851,4.6634393,0,0,2.0794415,2.3025851,0,0,2.3025851,0,0,2.8903718,4.5217886,3.6635616,7.3537221,3.4339871,4.0253515,5.8230457,7.0361485,0,0,5.2040067,4.4773369,0,0,4.7004805,0,0,3.7612002,6.6605749,5.817111,9.6886225,9.855505,9.9550362,9.6218538,9.6878777,0,0,9.319643,9.5621233,0,0,8.722743,0,0,9.1423826,9.5553474,9.8481331,.67000002,.62,.98000002,1.16,2.22,2.0799999,.87,.88,0,0,0,0,1.1799999,.85000002,.89999998,.66000003,0,0,0,0,.81,.70999998,0,0,0,0,.86000001,.75,.81999999,.77999997,1.04,1.35,9.108861203026329,1.7917595,-7.7314997,0,9.108861,1.7917595,1,-7.7314997,0
21,21189,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0253515,1.7917595,2.1972246,2.1972246,3.4657359,0,0,0,0,0,0,0,0,0,0,0,2.5649493,6.1696105,3.0445225,3.7376697,5.3471074,5.32301,0,0,0,0,0,0,0,0,0,0,0,4.1896548,9.5563383,9.6817179,9.8279552,9.6778412,9.3216133,0,0,0,0,0,0,0,0,0,0,0,9.0693531,1.48,1.28,2.4000001,2.8699999,4.52,5.0999999,.50999999,.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.67000002,.44999999,8.524367395164237,0,-7.8963976,0,8.5243673,0,1,-7.8963976,0
21,21191,0,9,6,8,9,13,8,10,13,10,10,10,12,14,13,17,18,14,18,12,9,5.2933049,1.9459101,2.5649493,2.3025851,5.1239638,2.3978953,0,2.4849067,2.8903718,3.1780539,0,2.6390574,1.9459101,0,0,4.9698133,4.2046928,7.668561,3.5263605,4.3820267,6.0234475,7.3864708,3.7612002,0,4.6443911,4.5108595,6.5861716,0,4.8362818,6.1025586,0,0,6.7900972,6.0730443,9.663516,9.9830379,9.6619253,9.6100559,9.6689034,9.5982523,0,9.1401329,9.3799992,9.983223,0,8.5814819,9.8332262,0,0,9.3106384,9.4646721,.54000002,.57999998,1.02,.92000002,1.98,1.88,.89999998,.92000002,.20999999,.17,0,0,.49000001,.30000001,.68000001,.43000001,1.49,1.77,0,0,.68000001,.52999997,1.27,1.27,0,0,0,0,.68000001,.51999998,.98000002,.88999999,9.395657437749936,1.7917595,-7.6508093,0,9.3956575,1.7917595,1,-7.6508093,0
21,21193,0,15,18,8,15,7,8,11,7,16,11,16,11,16,9,12,12,10,13,17,13,6.5610309,2.4849067,3.7376697,2.5649493,6.4630294,3.8501475,3.4657359,4.1271343,3.6109178,4.4773369,2.6390574,3.7612002,2.7080503,3.7376697,3.9120231,6.3135481,5.6970935,9.2148304,5.1647859,6.338594,7.123673,8.9950409,5.5053315,4.9698133,7.1057863,5.811141,7.8674884,5.09375,6.5736804,5.3981628,7.7164607,5.1357985,8.6037378,7.8590269,9.9781771,10.084434,9.8962107,9.7001467,10.017842,9.8364925,9.6214561,9.9667912,10.074411,10.408708,9.9636412,8.7598257,10.051304,10.47127,9.1516514,9.7578259,9.7866726,.58999997,.50999999,1.54,1.29,1.27,.95999998,.95999998,1.01,.25,.19,.30000001,.19,1.23,1.27,.52999997,.49000001,1.14,1.52,.63,.46000001,.81999999,.56,.13,.12,13.94,23.6,.52999997,.34999999,.88999999,.77999997,1.25,1.14,10.31834177794098,1.6094379,-7.7636318,0,10.318342,1.6094379,1,-7.7636318,0
21,21195,0,163,169,140,163,174,140,172,174,184,172,184,151,188,222,219,228,171,181,189,174,7.3607397,2.7725887,3.4011974,2.8903718,7.3198647,4.8202815,4.59512,4.8202815,4.4067192,5.971262,2.3025851,4.4998097,3.6109178,5.5451775,4.7449322,7.0192966,6.3491392,9.9579754,5.9188938,6.329721,7.8022094,9.783577,6.6871085,6.4831076,7.6939373,6.8341088,8.8464966,5.3659759,7.1770186,5.6131282,8.7031746,6.09131,9.286375,8.4963779,9.9661341,10.211303,9.9933281,9.7422619,9.9868631,9.8896418,9.8684816,9.8783751,9.9013348,10.327676,10.150426,8.8558064,9.7806416,10.385141,9.3316727,9.683651,9.6548338,.58999997,.58999997,.73000002,.68000001,1.1900001,.94999999,1,1.04,.40000001,.31999999,.64999998,.52999997,1.0599999,1.01,.69999999,.55000001,1.45,1.79,.40000001,.34999999,.70999998,.55000001,.079999998,.059999999,17.780001,27.959999,.66000003,.51999998,.83999997,.69,1.12,.91000003,11.19248601361359,4.8675346,-7.7825885,0,11.192486,4.8675346,1,-7.7825885,0
